prompt,target
Berlin is the capital of Answer:,Germany
The capital of the Netherlands is Answer:,Amsterdam
The capital of Germany is Answer:,Berlin
Seoul is the capital of Answer:,South Korea
Brussels is in Answer:,Belgium
Moscow is in Answer:,Russia
Santiago is in Answer:,Chile
The capital of Japan is Answer:,Tokyo
The capital of South Korea is Answer:,Seoul
Prague is in Answer:,Czech Republic
The capital of Turkey is Answer:,Ankara
Lima is the capital of Answer:,Peru
Canberra is the capital of Answer:,Australia
Amsterdam is in Answer:,Netherlands
Lisbon is in Answer:,Portugal
London is the capital of Answer:,United Kingdom
Ankara is the capital of Answer:,Turkey
Ottawa is in Answer:,Canada
Oslo is in Answer:,Norway
