prompt,target
The capital of France is Answer:,Paris
Paris is the capital of Answer:,France
France's capital city is Answer:,Paris
The capital of Germany is Answer:,Berlin
The capital of Italy is Answer:,Rome
The capital of Spain is Answer:,Madrid
The capital of Japan is Answer:,Tokyo
Paris is in Answer:,France
The capital of the United Kingdom is Answer:,London
London is the capital of Answer:,United Kingdom
Berlin is the capital of Answer:,Germany
Rome is in Answer:,Italy
Madrid is the capital of Answer:,Spain
The capital of Canada is Answer:,Ottawa
Ottawa is in Answer:,Canada
The capital of Australia is Answer:,Canberra
Beijing is the capital of Answer:,China
Moscow is in Answer:,Russia
The capital of India is Answer:,New Delhi
Cairo is the capital of Answer:,Egypt
The capital of Brazil is Answer:,Brasilia
Tokyo is in Answer:,Japan
Seoul is the capital of Answer:,South Korea
The capital of Mexico is Answer:,Mexico City
Buenos Aires is in Answer:,Argentina
The capital of Egypt is Answer:,Cairo
The capital of Russia is Answer:,Moscow
Warsaw is the capital of Answer:,Poland
Amsterdam is in Answer:,Netherlands
The capital of the Netherlands is Answer:,Amsterdam
Brussels is in Answer:,Belgium
Vienna is the capital of Answer:,Austria
Prague is in Answer:,Czech Republic
Athens is the capital of Answer:,Greece
Lisbon is in Answer:,Portugal
Stockholm is the capital of Answer:,Sweden
Oslo is in Answer:,Norway
Helsinki is the capital of Answer:,Finland
Dublin is the capital of Answer:,Ireland
The capital of Greece is Answer:,Athens
The capital of Portugal is Answer:,Lisbon
The capital of Sweden is Answer:,Stockholm
The capital of Norway is Answer:,Oslo
The capital of Poland is Answer:,Warsaw
The capital of Belgium is Answer:,Brussels
The capital of Austria is Answer:,Vienna
The capital of Switzerland is Answer:,Bern
The capital of Turkey is Answer:,Ankara
Ankara is the capital of Answer:,Turkey
The capital of Argentina is Answer:,Buenos Aires
The capital of Chile is Answer:,Santiago
Santiago is in Answer:,Chile
The capital of Colombia is Answer:,Bogota
Bogota is in Answer:,Colombia
Lima is the capital of Answer:,Peru
The capital of South Korea is Answer:,Seoul
Bangkok is the capital of Answer:,Thailand
Singapore is in Answer:,Singapore
The capital of Indonesia is Answer:,Jakarta
Manila is the capital of Answer:,Philippines
The capital of New Zealand is Answer:,Wellington
Canberra is the capital of Answer:,Australia
